Date,Open,High,Low,Close,Adj Close,Volume
2021-08-27,2833.05,2890.25,2829.94,2880.08,2880.08,1438600
2021-08-30,2888.0,2919.41,2883.26,2891.81,2891.81,1221700
2021-08-31,2902.94,2903.43,2885.62,2893.95,2893.95,1122400
2021-09-01,2900.0,2925.08,2897.67,2904.31,2904.31,1096800
2021-09-02,2904.32,2910.39,2863.7,2865.74,2865.74,1617100
2021-09-03,2861.61,2883.1,2848.01,2874.79,2874.79,992500
2021-09-07,2876.69,2891.3,2872.38,2885.61,2885.61,1006200
2021-09-08,2882.0,2888.0,2860.0,2873.82,2873.82,917200
2021-09-09,2876.81,2886.21,2863.55,2870.82,2870.82,765700
2021-09-10,2884.25,2894.37,2814.76,2817.52,2817.52,1840700
2021-09-13,2838.99,2859.0,2825.0,2846.65,2846.65,1104700
2021-09-14,2859.91,2867.26,2835.0,2850.89,2850.89,983700
2021-09-15,2855.43,2889.01,2826.95,2888.59,2888.59,1370400
2021-09-16,2879.01,2886.0,2848.03,2872.2,2872.2,1309500
2021-09-17,2860.61,2869.0,2809.4,2816.0,2816.0,2669200
2021-09-20,2763.23,2780.0,2726.44,2774.39,2774.39,2325900
2021-09-21,2794.99,2800.23,2765.56,2780.66,2780.66,1266600
2021-09-22,2786.08,2817.74,2771.03,2805.67,2805.67,1252800
2021-09-23,2819.75,2833.93,2808.03,2824.32,2824.32,1047600
2021-09-24,2810.77,2846.61,2804.82,2844.3,2844.3,1149200
2021-09-27,2816.09,2838.77,2801.35,2821.44,2821.44,1094100
2021-09-28,2773.1,2781.93,2707.2,2716.6,2716.6,2288600
2021-09-29,2739.6,2743.02,2677.3,2687.07,2687.07,1542400
2021-09-30,2685.23,2710.85,2671.12,2673.52,2673.52,1899800
2021-10-01,2688.95,2738.21,2681.46,2730.86,2730.86,1768000
2021-10-04,2719.21,2719.21,2621.0,2673.19,2673.19,2560100
2021-10-05,2680.82,2744.49,2680.82,2720.46,2720.46,1620200
2021-10-06,2695.0,2755.0,2691.0,2751.3,2751.3,1218200
2021-10-07,2777.84,2800.84,2773.02,2784.5,2784.5,1255500
2021-10-08,2791.54,2806.62,2784.35,2795.71,2795.71,1325200
2021-10-11,2785.84,2814.24,2777.18,2778.28,2778.28,897700
2021-10-12,2789.6,2790.14,2715.2,2728.98,2728.98,1816600
2021-10-13,2748.05,2760.0,2730.38,2751.64,2751.64,982700
2021-10-14,2789.48,2826.75,2776.5,2823.02,2823.02,1594700
2021-10-15,2832.29,2834.36,2815.1,2827.36,2827.36,1512900
2021-10-18,2821.53,2855.92,2821.39,2855.56,2855.56,1019800
2021-10-19,2867.75,2873.25,2852.0,2864.74,2864.74,1008200
2021-10-20,2866.76,2870.92,2827.53,2835.38,2835.38,1164400
2021-10-21,2835.38,2843.12,2810.0,2837.72,2837.72,1314600
2021-10-22,2783.0,2811.66,2721.12,2751.33,2751.33,2529400
2021-10-25,2751.0,2760.0,2708.48,2748.94,2748.94,1720600
2021-10-26,2785.27,2801.66,2766.09,2786.17,2786.17,2461800
2021-10-27,2788.1,2973.0,2788.1,2924.35,2924.35,4289100
2021-10-28,2942.69,2943.16,2892.54,2916.98,2916.98,1810300
2021-10-29,2901.56,2964.84,2892.99,2960.92,2960.92,2166000
2021-11-01,2960.92,2960.92,2864.51,2869.94,2869.94,2346200
2021-11-02,2891.59,2932.18,2886.71,2908.65,2908.65,1674100
2021-11-03,2918.01,2933.38,2891.82,2931.96,2931.96,1374700
2021-11-04,2942.49,2994.67,2926.16,2965.35,2965.35,1920600
2021-11-05,2983.39,3006.55,2963.94,2977.04,2977.04,1915800
2021-11-08,2996.5,3012.3,2968.61,2980.62,2980.62,1152600
2021-11-09,2984.66,2996.69,2944.9,2978.37,2978.37,976500
2021-11-10,2950.0,2961.4,2890.75,2917.87,2917.87,1498500
2021-11-11,2929.79,2950.71,2912.01,2915.33,2915.33,825900
2021-11-12,2932.31,2977.0,2908.22,2973.56,2973.56,1116900
2021-11-15,2978.01,2990.99,2951.5,2969.04,2969.04,1175400
2021-11-16,2962.99,2975.25,2946.25,2957.52,2957.52,945200
2021-11-17,2960.55,2971.19,2944.8,2960.94,2960.94,979700
2021-11-18,2964.83,3011.61,2957.69,2996.77,2996.77,1780400
2021-11-19,2999.51,3019.33,2977.98,2978.53,2978.53,1684100
2021-11-22,2986.65,2996.59,2922.95,2926.04,2926.04,1529700
2021-11-23,2923.06,2933.2,2882.3,2915.64,2915.64,1360900
2021-11-24,2909.47,2924.99,2887.46,2922.4,2922.4,902000
2021-11-26,2886.97,2891.15,2836.85,2843.66,2843.66,1523500
2021-11-29,2880.0,2925.95,2877.87,2910.61,2910.61,1629800
2021-11-30,2900.17,2920.0,2832.03,2837.95,2837.95,2103400
2021-12-01,2880.0,2919.01,2818.24,2821.03,2821.03,1701000
2021-12-02,2825.0,2877.29,2804.29,2859.32,2859.32,1459700
2021-12-03,2873.62,2888.0,2806.02,2840.03,2840.03,2060800
2021-12-06,2860.81,2877.05,2803.0,2863.1,2863.1,1530900
2021-12-07,2911.93,2950.62,2904.55,2945.39,2945.39,1612000
2021-12-08,2951.93,2967.86,2928.12,2963.73,2963.73,1213500
2021-12-09,2951.82,2982.0,2942.3,2952.77,2952.77,1163500
2021-12-10,2974.0,2979.55,2934.08,2960.03,2960.03,1222900
2021-12-13,2955.63,2959.4,2910.35,2916.53,2916.53,1353500
2021-12-14,2879.36,2889.6,2824.3,2878.14,2878.14,1922300
2021-12-15,2868.18,2934.42,2833.56,2928.82,2928.82,1818500
2021-12-16,2943.41,2953.54,2872.14,2888.9,2888.9,1682500
2021-12-17,2850.0,2876.69,2826.0,2834.5,2834.5,2520800
2021-12-20,2800.0,2835.49,2786.42,2832.14,2832.14,1359600
2021-12-21,2841.07,2877.38,2810.05,2869.45,2869.45,1437800
2021-12-22,2861.35,2930.0,2861.35,2928.3,2928.3,1316100
2021-12-23,2930.0,2964.87,2929.04,2938.33,2938.33,1319200
2021-12-27,2945.12,2966.88,2943.39,2958.13,2958.13,798800
2021-12-28,2964.72,2965.98,2921.09,2933.74,2933.74,910000
2021-12-29,2932.89,2948.34,2912.95,2933.1,2933.1,889400
2021-12-30,2933.88,2946.0,2919.89,2924.01,2924.01,784400
2021-12-31,2921.0,2933.97,2897.04,2897.04,2897.04,906800
2022-01-03,2901.1,2917.02,2874.26,2899.83,2899.83,1432300
2022-01-04,2907.92,2929.7,2874.33,2887.99,2887.99,1420000
2022-01-05,2888.4,2889.99,2753.76,2755.5,2755.5,2730900
2022-01-06,2739.97,2798.8,2731.17,2754.95,2754.95,1867400
2022-01-07,2762.91,2768.97,2715.33,2740.34,2740.34,1487700
2022-01-10,2701.56,2776.39,2663.29,2773.39,2773.39,2220400
2022-01-11,2760.14,2804.32,2733.85,2794.72,2794.72,1436500
2022-01-12,2823.0,2852.16,2813.89,2828.61,2828.61,1305400
2022-01-13,2830.8,2857.0,2768.18,2771.74,2771.74,1571800
2022-01-14,2741.58,2814.84,2739.97,2789.61,2789.61,1482100
2022-01-18,2723.5,2742.63,2708.77,2719.96,2719.96,1743600
